STAGE 1 (Deleted after full reading),,,STAGE 2 (Deleted after full reading),
"Post-licensure safety surveillance of zoster vaccine live (Zostavax®) in the united states, vaccine adverse event reporting system (VAERS), 2006-2015",Uses vaccine data,,,
"Post-Marketing Surveillance of Human Rabies Diploid Cell Vaccine (Imovax) in the Vaccine Adverse Event Reporting System (VAERS) in the United States, 1990‒2015",Uses vaccine data,,,
PPAR gamma agonistic activity of dillapiole: protective effects against diabetic nephropathy,"Does not use pharmacovigilance data, Does not use data mining",,,
Preclinical side effect prediction through pathway engineering of protein interaction network models,"Does not use pharmacovigilance data, Does not use data mining",,,
Predicting potential side effects of drugs by recommender methods and ensemble learning,Theoretical study,,,
Prediction of black box warning by mining patterns of Convergent Focus Shift in clinical trial study populations using linked public data,Does not use pharmacovigilance data,,,
Prediction of chemical multi-target profiles and adverse outcomes with systems toxicology,Review article,,,
Prevalence and nature of statin drug-drug interactions in a university hospital by electronic health record mining.,Does not use pharmacovigilance data,,,
"Project Achoo: A Practical Model and Application for COVID-19 Detection From Recordings of Breath, Voice, and Cough.",Uses vaccine data,,,
Pulse of the pandemic: Iterative topic filtering for clinical information extraction from social media,Does not use pharmacovigilance data,,,
Quantitative Structure-Activity Relationship Models to Predict Cardiac Adverse Effects,Does not use pharmacovigilance data,,,
Quick assessment of drug-related admissions over time (QUADRAT study),Does not use pharmacovigilance data,,,
Real-world evaluation of supportive care using an electronic health record text-mining tool: G-CSF use in breast cancer patients,Does not use pharmacovigilance data,,,
RedMed: Extending drug lexicons for social media applications,Does not use pharmacovigilance data,,,
Relation Extraction From Biomedical and Clinical Text: Unified Multitask Learning Framework,Does not use pharmacovigilance data,,,
Repeat-dose toxicity prediction with Generalized Read-Across (GenRA) using targeted transcriptomic data: A proof-of-concept case study,Does not use pharmacovigilance data,,,
Repurposing of drugs against bacterial infections: A pharmacovigilance-based data mining approach,Does not use pharmacovigilance data,,,
Retrospective side effect profiling of the metastatic melanoma combination therapy ipilimumab-nivolumab using adverse event data,Does not use pharmacovigilance data,,,
Review of FDA Amendments Act Section 921 Experience in Posting Data-mining Results from the FAERS Database,Does not use pharmacovigilance data,,,
Role of data mining on pharmaceutical industry-a survey,Does not use pharmacovigilance data,,,
"Safety of bivalent human papillomavirus vaccine in the US vaccine adverse event reporting system (VAERS), 2009–2017",Does not use pharmacovigilance data,,,
Safety of second-dose single-antigen varicella vaccine,Does not use pharmacovigilance data,,,
Safety profile of human papilloma virus vaccines: an analysis of the US Vaccine Adverse Event Reporting System from 2007 to 2017,Does not use pharmacovigilance data,,,
Safety surveillance of diphtheria and tetanus toxoids and acellular pertussis (DTaP) vaccines,Does not use pharmacovigilance data,,,
Safety surveillance of varicella vaccine using tree-temporal scan analysis,Does not use pharmacovigilance data,,,
Semi-Supervised Recurrent Neural Network for Adverse Drug Reaction mention extraction,Does not use pharmacovigilance data,,,
"Semisupervised Learning to Boost hERG, Nav1.5, and Cav1.2 Cardiac Ion Channel Toxicity Prediction by Mining a Large Unlabeled Small Molecule Data Set",Does not use pharmacovigilance data,,,
Sentiment ontology analysis for adverse drug effect,Does not use pharmacovigilance data,,,
Serendipity-A Machine-Learning Application for Mining Serendipitous Drug Usage From Social Media,Does not use pharmacovigilance data,,,
Sex differences in text-mined possible adverse drug events associated with drugs for psychosis,Does not use pharmacovigilance data,,,
Signal detection of adverse events associated with gabapentinoid use for chronic pain,Does not use pharmacovigilance data,,,
"Signal detection of adverse events following pneumococcal vaccines from the Korea adverse event reporting system database, 2005–2016",Does not use pharmacovigilance data,,,
"Signal detection of human papillomavirus vaccines using the Korea Adverse Events Reporting System database, between 2005 and 2016",Does not use pharmacovigilance data,,,
Signature-based approaches for informed drug repurposing: targeting CNS disorders,Does not use pharmacovigilance data,,,
SMILE: a feature-based temporal abstraction framework for event-interval sequence classification,Does not use pharmacovigilance data,,,
Smoothing dense spaces for improved relation extraction between drugs and adverse reactions,Does not use pharmacovigilance data,,,
Social media as a catalyst in the advancement of pharmacovigilance,Does not use pharmacovigilance data,,,
SOCIAL MEDIA MINING SHARED TASK WORKSHOP.,Does not use pharmacovigilance data,,,
Social media surveillance for perceived therapeutic effects of cannabidiol (CBD) products,Does not use pharmacovigilance data,,,
Strategies for serum chemokine/cytokine assessment as biomarkers of therapeutic response in HCV patients as a prototype to monitor immunotherapy of infectious diseases,Does not use pharmacovigilance data,,,
SubGE-DDI: A new prediction model for drug-drug interaction established through biomedical texts and drug-pairs knowledge subgraph enhancement.,Does not use pharmacovigilance data,,,
"Surveillance of adverse events after the first trivalent inactivated influenza vaccine produced in mammalian cell culture (Flucelvax®) reported to the Vaccine Adverse Event Reporting System (VAERS), United States, 2013-2015",Does not use pharmacovigilance data,,,
"Surveillance of adverse events following immunization of 13-valent pneumococcal conjugate vaccine among infants, in Zhejiang province, China",Does not use pharmacovigilance data,,,
Systemic Arterial Stiffness and Choroidal Microvascular Insufficiency on the Structural Progression of Normal Tension Glaucoma,"Does not use pharmacovigilance data, Does not use data mining",,,
Systems Drug Design for Muscle Invasive Bladder Cancer and Advanced Bladder Cancer by Genome-Wide Microarray Data and Deep Learning Method with Drug Design Specifications,Does not use pharmacovigilance data,,,
Systems Pharmacological Analysis of Drugs Inducing Stevens-Johnson Syndrome and Toxic Epidermal Necrolysis,Does not use pharmacovigilance data,,,
Target Adverse Event Profiles for Predictive Safety in the Postmarket Setting,Does not use official bases,,,
"Text mining for disease surveillance in veterinary clinical data: part two, training computers to identify features in clinical text","Does not use pharmacovigilance data, Does not use data mining",,,
The characteristics and regularities of cardiac adverse drug reactions induced by Chinese materia medica: A bibliometric research and association rules analysis,Does not use pharmacovigilance data,,,
The Chemical Property Position of Bedaquiline Construed by a Chemical Global Positioning System-Natural Product,Does not use official bases,,,
The class imbalance problem detecting adverse drug reactions in electronic health records,Does not use pharmacovigilance data,,,
The impact of drug error reduction software on preventing harmful adverse drug events in England: a retrospective database study,"Does not use pharmacovigilance data, Does not use data mining",,,
The impact of regulation changes in the spontaneous reporting system for vaccines on reporting trends and signal detection in Japan,Uses vaccine data,,,
"The Next Generation of Drug Safety Science: Coupling Detection, Corroboration, and Validation to Discover Novel Drug Effects and Drug-Drug Interactions.",Theoretical study,,,
The side effect profile of Clozapine in real world data of three large mental health hospitals,"Theoretical study, Does not use pharmacovigilance data, Does not use data mining",,,
The Use of Text Mining to Obtain a Historical Overview of Research on Therapeutic Drug Monitoring,Does not use official bases,,,
"The Use of Traditional, Complementary, and Integrative Medicine in Cancer: Data-Mining Study of 1 Million Web-Based Posts from Health Forums and Social Media Platforms",Does not use pharmacovigilance data,,,
The voice of drug consumers: Online textual review analysis using structural topic model,"Does not use pharmacovigilance data, Does not use data mining, Review article",,,
Thromboembolic events after Ad.26.COV2.S COVID-19 vaccine: Reports to the Vaccine Adverse Event Reporting System,Uses vaccine data,,,
Toward an Ethical Framework for the Text Mining of Social Media for Health Research: A Systematic Review.,Review article,,,
Towards the Application of Machine Learning in Emergency Informatics,"Does not use pharmacovigilance data, Does not use data mining",,,
Toxicity spectrum of immunotherapy in advanced lung cancer: A safety analysis from clinical trials and a pharmacovigilance system,Does not use pharmacovigilance data,,,
Traditional Chinese Medicine Is Associated with Reduced Risk of Readmission in Rheumatoid Arthritis Patients with Anemia: A Retrospective Cohort Study,Does not use pharmacovigilance data,,,
Translational Biomedical Informatics and Pharmacometrics Approaches in the Drug Interactions Research.,"Theoretical study, Review article",,,
Translational High-Dimensional Drug Interaction Discovery and Validation Using Health Record Databases and Pharmacokinetics Models,"Does not use pharmacovigilance data, Does not use data mining",,,
Tree-based data mining for safety assessment of first COVID-19 booster doses in the Vaccine Safety Datalink,Uses vaccine data,,,
Tree-based scan statistic - Application in manufacturing-related safety signal detection,Does not use pharmacovigilance data,,,
Trivalent Influenza Vaccine Adverse Event Analysis Based On MedDRA System Organ Classes Using VAERS Data.,Uses vaccine data,,,
"TwiMed: Twitter and PubMed comparable corpus of drugs, diseases, symptoms, and their relations",Does not use pharmacovigilance data,,,
Use of One-minute Sit-to-stand Test to Predict Functional Exercise Capacity in Patients With Congenital Heart Disease,Does not use pharmacovigilance data,,,
Users’ Reactions to Announced Vaccines against COVID-19 before Marketing in France: Analysis of Twitter Posts,"Does not use pharmacovigilance data, Does not use data mining",,,
Uses of pharmacovigilance databases: An overview,"Does not use pharmacovigilance data, Does not use data mining, Review article",,,
Using natural language processing to characterize and predict homeopathic product-associated adverse events in consumer reviews: comparison to reports to FDA Adverse Event Reporting System (FAERS),Review article,,,
Using random forest and decision tree models for a new vehicle prediction approach in computational toxicology,Does not use pharmacovigilance data,,,
